"x","y","region","water","Ash","Basswood","Beech","Birch","Cherry","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
877000,574000,"michigan_south",0,0.134508,0.01021,0.5824648,0.0009156,0.0077004,0.0027464,0.1109256,2.48e-05,0.0001152,0.0142376,0.0128924,0.0454712,0.0382044,0.0002268,7.64e-05,0.0146356,0.006354,0.0045296,0.0006844,0.0001496,0.0129272
885000,574000,"michigan_south",0,0.1361008,0.0102016,0.4160312,0.0008652,0.0138828,0.003108,0.075718,4.4e-05,0.000132,0.017598,0.0136292,0.0633524,0.1847948,0.0001676,8.76e-05,0.013788,0.0045872,0.0043476,0.0005612,0.0002192,0.0407836
893000,574000,"michigan_south",0,0.114898,0.0100104,0.568798,0.0007188,0.013668,0.0017592,0.0772568,2.64e-05,0.000128,0.0095468,0.0167632,0.0342348,0.1179536,0.0001672,7.08e-05,0.0124564,0.0040048,0.0038056,0.0003512,0.0001212,0.0132608
901000,574000,"michigan_south",0,0.2001136,0.0166392,0.3455288,0.001266,0.0080296,0.0019492,0.1322364,6.84e-05,0.0001596,0.0219532,0.0325824,0.0729296,0.0788324,0.0002628,0.0001564,0.0405944,0.00542,0.0098804,0.0004836,0.0002976,0.0306164
909000,574000,"michigan_south",0,0.1138004,0.0197056,0.271144,0.0011748,0.0045956,0.0016708,0.132756,5.48e-05,0.0002088,0.0431552,0.0389724,0.1482232,0.1452948,0.0002328,0.0001828,0.0108416,0.0042064,0.0461052,0.0004772,0.00035,0.0168476
917000,574000,"michigan_south",0,0.189954,0.0283928,0.2206196,0.0012216,0.0029628,0.001522,0.1273444,7.64e-05,0.0001464,0.053386,0.0273352,0.0961848,0.176246,0.0001684,0.0001344,0.0083076,0.0038388,0.0341136,0.0004388,0.0003424,0.027264
925000,574000,"michigan_south",0,0.1958476,0.0489848,0.0725096,0.0012664,0.0027676,0.0016024,0.138742,8.28e-05,0.0002256,0.0767516,0.0249644,0.1515744,0.2115676,0.0004408,0.0001584,0.0102468,0.0054924,0.0148612,0.0005284,0.0004528,0.0409324
933000,574000,"michigan_south",0,0.2006876,0.0622468,0.1460692,0.0011668,0.002752,0.0013304,0.1183448,5.56e-05,0.000256,0.0587448,0.0222856,0.188574,0.1435452,0.0004768,0.0002168,0.0053708,0.0067996,0.024272,0.0004984,0.0005452,0.0157616
941000,574000,"michigan_south",0,0.265978,0.0860664,0.14684,0.0011268,0.0019428,0.000854,0.094168,5.4e-05,0.0002632,0.0670908,0.0167916,0.1041772,0.153368,0.0002916,0.0002548,0.0030112,0.0053576,0.0365224,0.0006484,0.000472,0.0147212
949000,574000,"michigan_south",0,0.2590792,0.104408,0.10953,0.0011116,0.0021308,0.0012556,0.0972848,6.88e-05,0.0002384,0.0933024,0.0137224,0.0824812,0.1283628,0.000286,0.0002844,0.0025604,0.0053428,0.0779532,0.0004704,0.00052,0.0196068
957000,574000,"michigan_south",0,0.295984,0.0795068,0.0729856,0.001082,0.0025936,0.0009044,0.0887216,6.12e-05,0.0003024,0.0646164,0.0130952,0.0956904,0.1385296,0.0001824,0.0002656,0.0018808,0.0078388,0.098166,0.000648,0.0006876,0.0362576
965000,574000,"michigan_south",0,0.0731884,0.016948,0.0106632,0.0002712,0.0009844,0.000466,0.04869,1.12e-05,0.0001012,0.0596124,0.0037136,0.0187164,0.727862,6.36e-05,4.4e-05,0.0004568,0.0032552,0.0214612,0.0001608,0.000226,0.0131044
973000,574000,"michigan_south",0,0.0750008,0.015456,0.0097204,0.000322,0.0011372,0.0004352,0.0424388,1.12e-05,0.0001116,0.0645168,0.0037956,0.014132,0.7200536,9e-05,8.64e-05,0.0004804,0.010988,0.0262188,0.0002064,0.0002388,0.01456
981000,574000,"michigan_south",26,0.1082088,0.0222008,0.015598,0.0005492,0.0020444,0.000764,0.0520284,1.76e-05,0.0001284,0.0916572,0.0068916,0.0236428,0.564836,0.0001784,9.96e-05,0.0005444,0.006382,0.0569328,0.0003992,0.0004292,0.0464672
741000,582000,"michigan_south",0,0.013362,0.0116668,0.018208,0.0003944,0.0005872,0.0001084,0.01185,4.4e-06,9.72e-05,0.077604,0.0028704,0.0140092,0.8325896,0.0002288,3.4e-05,0.0045288,0.0008524,0.0024248,0.0008444,4.12e-05,0.007694
749000,582000,"michigan_south",0,0.0090876,0.0055648,0.0088216,0.0002488,0.0002936,3.96e-05,0.00885,2e-06,4.88e-05,0.0718384,0.0015416,0.0080152,0.8763148,7.2e-05,2.12e-05,0.0012488,0.0006384,0.0012896,0.0007376,2.2e-05,0.0053036
757000,582000,"michigan_south",0,0.0164772,0.0046652,0.0081508,0.0003936,0.0005228,8e-05,0.0081872,3.6e-06,5.52e-05,0.1952952,0.0024092,0.0090028,0.7130328,9.04e-05,1.6e-05,0.001506,0.000824,0.0024588,0.0006848,4.36e-05,0.0361008
765000,582000,"michigan_south",0,0.0053984,0.0011948,0.0043892,0.0001428,0.0001616,3.48e-05,0.0025312,8e-07,1.36e-05,0.1434052,0.0007364,0.003,0.8327928,5.76e-05,3.6e-06,0.0007984,0.000454,0.0007664,0.0001592,1.04e-05,0.0039488
773000,582000,"michigan_south",0,0.0197948,0.0022456,0.0230204,0.0002992,0.0004484,6.32e-05,0.0062432,2e-06,4.64e-05,0.1380524,0.0023172,0.0071672,0.790228,7.08e-05,1.56e-05,0.0032184,0.0010844,0.0015496,0.0003664,1.16e-05,0.0037552
