"x","y","region","water","Ash","Atlantic white cedar","Basswood","Beech","Birch","Cherry","Chestnut","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
877000,574000,"michigan_south",0,0.132258,NA,0.0102912,0.581926,0.0009572,0.0070316,NA,0.0031548,0.1141632,2.28e-05,0.000126,0.0149424,0.0125116,0.0476572,0.037554,0.000184,6.16e-05,0.0129436,0.006324,0.004168,0.0003896,0.0001536,0.0131796
885000,574000,"michigan_south",0,0.1405796,NA,0.0112548,0.4125428,0.0008948,0.0133452,NA,0.0030772,0.0778232,2.08e-05,0.000154,0.0175072,0.0136912,0.0618872,0.1797772,0.0001548,0.0001088,0.0134612,0.0045816,0.0036376,0.0004336,0.0001448,0.0449224
893000,574000,"michigan_south",0,0.1135668,NA,0.0104036,0.5778848,0.000724,0.0134976,NA,0.0017456,0.0747668,2.88e-05,0.0001404,0.010054,0.0175156,0.031566,0.1152944,0.000186,6.24e-05,0.012878,0.00378,0.0039708,0.0003612,0.000194,0.0113792
901000,574000,"michigan_south",0,0.196992,NA,0.0169804,0.3481064,0.001352,0.0080992,NA,0.0019112,0.1310196,5e-05,0.00026,0.02256,0.0338024,0.0729588,0.0767712,0.0002728,0.0001568,0.0428164,0.004544,0.0089084,0.0004352,0.0002604,0.0317428
909000,574000,"michigan_south",0,0.1114064,NA,0.01861,0.2843156,0.0011632,0.004072,NA,0.0014076,0.133812,4.76e-05,0.0002904,0.0445664,0.0368144,0.1445948,0.1461092,0.0003228,0.0001412,0.0107228,0.0046084,0.0414168,0.0004104,0.0003672,0.0148008
917000,574000,"michigan_south",0,0.18882,NA,0.0291076,0.2166428,0.0011024,0.0031104,NA,0.0014032,0.1262044,3.96e-05,0.0002132,0.0582444,0.0277064,0.0936676,0.1838948,0.0002504,0.0001364,0.008342,0.0041968,0.0304412,0.0004088,0.000432,0.0256356
925000,574000,"michigan_south",0,0.1891948,NA,0.0506512,0.0737364,0.0012352,0.0027116,NA,0.0012268,0.143296,4.16e-05,0.0002948,0.0772488,0.023804,0.151092,0.21681,0.0003952,0.0001556,0.0107128,0.0051784,0.0135336,4e-04,0.00034,0.0379412
933000,574000,"michigan_south",0,0.1998428,NA,0.0636532,0.1448108,0.0010236,0.0023752,NA,0.0012964,0.1221008,4.32e-05,0.0003484,0.0596744,0.0214184,0.1851236,0.1461456,0.0004304,0.00017,0.0053496,0.0062128,0.0244072,0.0004408,0.0005552,0.0145776
941000,574000,"michigan_south",0,0.26344,NA,0.08537,0.1418916,0.0010292,0.002066,NA,0.0011024,0.098816,4.08e-05,0.0002564,0.0652152,0.0174688,0.1048488,0.1570032,0.0003476,0.0001332,0.00338,0.0058952,0.0370364,0.0004216,0.0005384,0.0136992
949000,574000,"michigan_south",0,0.26782,NA,0.1045836,0.102826,0.0010072,0.002274,NA,0.0012284,0.0911392,7.84e-05,0.0002768,0.0962636,0.0140144,0.0814628,0.1239936,0.000356,0.0001888,0.0020496,0.0057596,0.0836984,0.0006024,0.000638,0.0197392
957000,574000,"michigan_south",0,0.3006868,NA,0.0813824,0.066578,0.001162,0.0027896,NA,0.0017192,0.0864672,9.52e-05,0.0003616,0.0669492,0.0145944,0.0936292,0.1403004,0.000328,0.0002124,0.0022812,0.0077448,0.0935548,0.000624,0.0008168,0.0377228
965000,574000,"michigan_south",0,0.0804256,NA,0.0203692,0.0121452,0.0002728,0.0007064,NA,0.0004716,0.049176,1.92e-05,8.16e-05,0.0595016,0.0041144,0.0187732,0.7204196,6.76e-05,4e-05,0.0007192,0.0041472,0.0144324,0.0002936,0.000204,0.0136196
973000,574000,"michigan_south",0,0.0725612,NA,0.0151024,0.0092496,0.00027,0.0008136,NA,0.0003464,0.0408952,1.32e-05,9.6e-05,0.0607508,0.003518,0.0139188,0.7509284,0.0001204,4.88e-05,0.000508,0.0099936,0.0069888,0.0002672,0.0001456,0.013464
981000,574000,"michigan_south",26,0.0968456,NA,0.01912,0.0138492,0.0003112,0.0012824,NA,0.000774,0.0453284,1.2e-05,0.0001216,0.0829564,0.0052656,0.021144,0.6540844,7.52e-05,8e-05,0.0006364,0.0052644,0.0081712,0.0003732,0.0002196,0.0440852
