,,,,,
Elevenses,Lab#,,14C age, +/-,Age Bayesian OxCal 
,OS-62594,Elev 50-52,445,35,
,OS-55022,Elev 70-72,950,30,
,OS-62595,Elev 94-96,1100,25,
,OS-54979,Elev 125-126,1580,30,
,OS-54978,Elev 205-206,2420,35,
,OS-55023,Elev 300-301,3410,30,
,,,,,
Ferry 2001,,,,,
,Beta-206427,Ferr01 84-85,250,40,
,AA-59151,Ferr01 135-136,1198,33,
,AA-59152,Ferr01 160-161,1554,34,
,AA-44476,Ferr01 201-202,2237,39,
,,,,,
Hell Hole,,,,,
,Beta-206426,Hell 42-43,600,40,
,AA-61224,Hell 75-76,1084,37,
,AA-59153,Hell 135-136,2184,50,
,AA-61222,Hell 199-200,2955,43,
,AA-61223,Hell 255-256,3779,44,
,,,,,
Lily 2004,,,,,
,Beta-216075,Lily04 55-56,660,40,
,AA-64659,Lily04 70-71,918,38,
,OS-55342,Lily04 86-87,1340,45,
,OS-55447,Lily04 107-108,1320,30,
,OS-62860,Lily04 110-112,1310,35,
,AA-64660,Lily04 130-131,1820,47,
,OS-62861,Lily04 158-160,2270,40,
,AA-64661,Lily04 200-201,2893,57,
,,,,,
Lone star 2002,,,,,
,OS-62772,Lon02 38-40,745,30,
,,Lon02 50-51,910,40,
,AA-64662,Lon02 69-70,1334,46,
,OS-62760,Lon02 88-90,1430,35,
,OS-57496,Lon02 103-105,1450,40,
,OS-62732,Lon02 133-135,1930,35,
,AA-64663,Lon02 144-145,2288,48,
,,Lon02 163-165,2450,45,
,,Lon02 196-198,2840,35,
,,Lon02 263-265,3710,40,
,,,,,
Warner 2004,,,,,
,AA-64664,Warn04 69-71,475,43,
,AA-64665,Warn04 130-131,773,55,
,OS-62743,Warn04 190-192,1230,30,
,OS-54557,Warn04 232-233,1500,65,
,OS-62571,Warn02 268-270,1910,40,
,,,,,
Fallison2006 core 2,,,,,
,OS-82920,Fall06-2 50-52,420,25,
,OS-82921,Fall06-2 88-90,1090,15,
,OS-82922,Fall06-2 128-130,1930,15,
,OS-82923,Fall06-2 265-267,5640,25,
,OS-82924,Fall06-2 298-300,7010,30,
,,,,,
Adeline 2011,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Eska 2011,,,,,
,Beta-325788,Eska11 64-66,640,30,
,Beta-325789,Eska11 136-138,1510,30,
,Beta-325790,Eska11 150-152,1860,30,
,Beta-325791,Eska11 269-271,3200,30,
