datasetID,handle,site,long,lat,state,pi,pre,settlement,notes
13060,ADELINE,Adeline Lake,-91.167,46.303,wisconsin,"Calcote, Randy",,,
12016,ALBRTLEA,Albert Lea Lake,-93.2894,43.6582,minnesota,"Cushing, Edward J.",,,
29,ALLIE,Lake Allie,-94.5675,44.8138,minnesota,"McAndrews, John H.",,,
14631,AMBER,Amber Lake,-94.4786,43.61279,minnesota,"Umbanhowar, Charles E., Jr.",,,
205,ANDRUSLK,Andrus Lake,-85.040278,46.7,michigan:north,"Shane, Linda C. K.",,,
223,BADMED,Bad Medicine Lake,-95.383333,47.133333,minnesota,"McAndrews, John H.",,,
14270,BASSK,Bass Lake,-94.88136,45.20224,minnesota,"Umbanhowar, Charles E., Jr.",,,
241,BBASS,Black Bass Lake,-93.703889,46.128056,minnesota,"McAndrews, John H.",,,
249,BECKMAN,Beckman Lake,-93.183333,45.425,minnesota,"Swain, Patricia C.",,,
3062,BECKMNBG,Beckman Lake,-93.183333,45.425,minnesota,"Swain, Patricia C.",,,
272,BIGJOHN,Big John Pond,-94.966667,47.558333,minnesota,"Almendinger, John C.",,,
275,BILLYS,Billy's Lake,-94.583333,46.283333,minnesota,"Jacobson, George L., Jr.",,,
280,BLANDIN,Blandin Pond,-93.666667,47.133333,minnesota,"Cushing, Edward J.",,,
10973,BLOMFORD,Blomford Lake,-93.157,45.496,minnesota,"Cushing, Edward J.",,,
287,BLUMOUND,Blue Mounds Creek,-89.866667,43.083333,wisconsin,"Davis, Anthony M.",,,
296,BOBLAKE,Bob Lake,-92.614722,46.633611,minnesota,"McAndrews, John H.",,,
298,BOGD,Bog D,-95.166667,47.183333,minnesota,"McAndrews, John H.",,,
305,BOSSUOT,Bossuot Lake,-93.74204,44.30067,minnesota,"McAndrews, John H.",,,
313,BROWNLK,Brown Lake (US:Wisconsin),-89.483333,45.783333,wisconsin,"Shane, Linda C. K.",,,
314,BROWNSBY,"Brown's Bay, Lake Minnetonka",-93.55931,44.96674,minnesota,"Shane, Linda C. K.",,,
325,BURNTSDE,Burntside Lake,-91.994722,47.924167,minnesota,"Wright, Herbert E., Jr.",,,
14633,CAMP,Camp Lake,-94.09863,45.16634,minnesota,"Umbanhowar, Charles E., Jr.",,,
332,CAMP11LK,Camp 11 Lake,-88.016667,46.666667,michigan:north,"Brubaker, Linda B.",,,
333,CAMP12LK,Camp 12 Lake,-89.375,45.986111,wisconsin,"Shane, Linda C. K.",,,
334,CAMPBELL,Campbell Lake,-93.50454,44.71047,minnesota,"McAndrews, John H.",,,
13057,CAMPLAKE,Camp Lake,-95.398,45.4133,minnesota,"Cushing, Edward J.",,,
3055,CANYON,Canyon Lake,-87.921389,46.833333,michigan:north,"Davis, Margaret B.",,,
352,CEDARBLK,Cedar Bog Lake,-93.197222,45.411111,minnesota,"Cushing, Edward J.",,,
369,CHIPPEWA,Chippewa Bog,-83.241111,43.123889,michigan:south,"Bailey, Robert E.",,,
12010,CHUBLAKE,Chub Lake,-93.22451,44.5748,minnesota,"Cushing, Edward J.",,,
382,CINDY,Cindy Pond,-94.916667,47.183333,minnesota,"McAndrews, John H.",,,
12005,COTTONW2,Cottonwood Lake,-95.6919,44.6243,minnesota,"Cushing, Edward J.",,,
515,COTWDMN,Cottonwood Lake (US:Minnesota),-96.016667,45.761111,minnesota,"McAndrews, John H.",,,
