"datasetID","handle","site","long","lat","state","pi","pre","settlement","notes"
3131,"HELLSKIT","Hell's Kitchen Lake",-89.7,46.183333,"wisconsin","Swain, Albert M.",,,
3473,"LAKEMARY","Lake Mary",-89.9,46.25,"wisconsin","Webb, Thompson III",,,
287,"BLUMOUND","Blue Mounds Creek",-89.866667,43.083333,"wisconsin","Davis, Anthony M.",,,
313,"BROWNLK","Brown Lake (US:Wisconsin)",-89.483333,45.783333,"wisconsin","Shane, Linda C. K.",,,
333,"CAMP12LK","Camp 12 Lake",-89.375,45.986111,"wisconsin","Shane, Linda C. K.",,,
546,"DARKLAKE","Dark Lake",-91.475,45.275,"wisconsin","Winkler, Marjorie Green",,,
681,"DENTONLK","Denton Lake",-89.316667,45.85,"wisconsin","Shane, Linda C. K.",,,
684,"DEVILSWI","Devils Lake",-89.73205,43.4178,"wisconsin","Maher, Louis J., Jr.",,,
700,"DISTER59","Disterhaft Farm Bog",-89.166944,43.916944,"wisconsin","Maher, Louis J., Jr.",,,
3081,"DISTRHFT","Disterhaft Farm Bog",-89.166944,43.916944,"wisconsin","Baker, Richard G.",,,
860,"GASS","Gass Lake",-87.733333,44.05,"wisconsin","Webb, Sara L.",,,
1004,"HANSON","Hanson Marsh",-89.675,43.433056,"wisconsin","Maher, Louis J., Jr.",,,
1151,"IOLABOG","Iola Bog",-89.116944,44.5,"wisconsin","Maher, Louis J., Jr.",,,
1447,"KELLHOL1","Kellys Hollow",-90.35,45.3,"wisconsin","Heide, Kathleen M.",,,
3452,"KELLHOL2","Kellys Hollow",-90.35,45.3,"wisconsin","Heide, Kathleen M.",,,
1448,"KELLNERS","Kellners Lake",-87.848056,44.238056,"wisconsin","Maher, Louis J., Jr.",,,
1643,"LITTLPIN","Little Pine Lake",-91.483333,45.283333,"wisconsin","Gajewski, Konrad J.",,,
3781,"STWDARK2","Stewart's Dark Lake",-91.45,45.3,"wisconsin","Peters, M. A.",,,
1735,"MENDOTAC","Lake Mendota",-89.416667,43.1,"wisconsin","Winkler, Marjorie Green",,,
3488,"MENDOTAD","Lake Mendota",-89.416667,43.1,"wisconsin","Winkler, Marjorie Green",,,
1840,"OTTOMLK","Otto Mielke Lake",-89.625,45.933333,"wisconsin","Shane, Linda C. K.",,,
2011,"RADTKE","Radtke Lake",-88.1,43.4,"wisconsin","Webb, Sara L.",,,
2309,"RUBYLAKE","Ruby Lake",-91.458333,45.283333,"wisconsin","Winkler, Marjorie Green",,,
3620,"SEIDEL02","Seidel",-87.515556,44.45,"wisconsin","Maher, Louis J., Jr.",,,
2624,"TAMARACK","Tamarack Creek",-91.45,44.15,"wisconsin","Davis, Anthony M.",,,
3035,"WOODLAKE","Wood Lake",-90.083333,45.333333,"wisconsin","Heide, Kathleen M.",,,
13060,"ADELINE","Adeline Lake",-91.166,46.30235,"wisconsin","Calcote, Randy",,,
13069,"ELEVENS","Elevenses Lake",-91.4935,46.3815,"wisconsin","Lynch, Elizabeth A.",,,
13071,"ESKALAKE","Eska Lake",-90.608,45.19145,"wisconsin","Calcote, Randy",,,
13073,"FALLISON","Fallison Lake",-89.62075,45.9915,"wisconsin","Calcote, Randy",,,
14446,"HELLHOLE","Hell Hole Lake",-92.21898,45.786565,"wisconsin","Lynch, Elizabeth A.",,,
15302,"EMRICK","Emrick Lake",-89.59428,43.800155,"wisconsin","Spigel, Kevin M.",,,
29,"ALLIE","Lake Allie",-94.5579,44.8036,"minnesota","McAndrews, John H.",,,
223,"BADMED","Bad Medicine Lake",-95.397205,47.123935,"minnesota","McAndrews, John H.",,,
241,"BBASS","Black Bass Lake",-93.703889,46.128056,"minnesota","McAndrews, John H.",,,
249,"BECKMAN","Beckman Lake",-93.183333,45.425,"minnesota","Swain, Patricia C.",,,
3062,"BECKMNBG","Beckman Lake",-93.183333,45.425,"minnesota","Swain, Patricia C.",,,
272,"BIGJOHN","Big John Pond",-94.966667,47.558333,"minnesota","Almendinger, John C.",,,
275,"BILLYS","Billy's Lake",-94.583333,46.283333,"minnesota","Jacobson, George L., Jr.",,,
280,"BLANDIN","Blandin Pond",-93.666667,47.133333,"minnesota","Cushing, Edward J.",,,
296,"BOBLAKE","Bob Lake",-92.614722,46.633611,"minnesota","McAndrews, John H.",,,
298,"BOGD","Bog D Pond",-95.162675,47.1775,"minnesota","McAndrews, John H.",,,
305,"BOSSUOT","Bossuot Lake",-93.73571,44.296475,"minnesota","McAndrews, John H.",,,
314,"BROWNSBY","Brown's Bay, Lake Minnetonka",-93.545105,44.95769,"minnesota","Shane, Linda C. K.",,,
325,"BURNTSDE","Burntside Lake",-91.994722,47.924167,"minnesota","Wright, Herbert E., Jr.",,,
334,"CAMPBELL","Campbell Lake",-93.497645,44.70722,"minnesota","McAndrews, John H.",,,
352,"CEDARBLK","Cedar Bog Lake",-93.197222,45.411111,"minnesota","Cushing, Edward J.",,,
