id sitename lat long state altitude model ages ASH BEECH BIRCH ELM HEMLOCK MAPLE OAK OTHER.CONIFER OTHER.HARDWOOD PINE SPRUCE TAMARACK
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON -54 5 0 187 4 12 15 104 5 62 182 5 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON -39 7 1 114 3 8 4 36 4 29 93 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON -9 3 1 102 3 11 2 24 3 36 116 5 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 22 5 0 86 14 4 4 42 1 46 291 1 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 42 5 0 192 2 18 9 32 6 21 191 3 2
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 52 7 0 199 6 31 7 36 3 66 144 4 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 63 2 0 206 7 30 14 32 8 44 235 7 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 81 5 0 86 14 4 4 42 1 46 291 2 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 102 2 0 171 9 20 9 52 2 49 233 3 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 146 4 0 137 6 13 4 43 1 31 215 2 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 201 5 0 182 12 20 6 47 5 25 284 5 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 260 5 0 113 13 16 8 41 5 39 355 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 320 5 0 105 6 31 12 25 5 31 368 9 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 390 2 0 157 13 10 7 29 1 32 247 4 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 465 9 0 164 18 1 8 38 0 34 239 5 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 548 7 0 117 8 5 6 26 2 64 269 9 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 635 1 1 103 5 18 4 32 2 49 315 1 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 724 5 0 97 11 14 4 26 5 82 301 5 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 812 4 0 92 3 12 3 23 3 49 298 5 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 903 6 0 161 7 25 8 43 5 44 316 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 997 4 1 85 3 10 5 31 1 67 389 8 2
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 1088 2 0 91 2 10 6 36 4 31 295 3 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 1178 1 0 191 9 15 4 20 4 41 240 7 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 1268 3 0 72 7 6 2 28 8 53 381 4 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 1355 8 0 82 8 5 5 36 3 67 284 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 1440 3 0 95 9 4 6 30 3 46 247 6 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 1521 1 0 130 13 12 12 16 6 33 331 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 1657 2 0 99 8 6 6 32 1 49 299 2 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 1763 10 1 88 7 5 4 31 2 43 300 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 1870 7 0 148 9 6 12 52 2 49 237 4 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 1973 9 1 152 7 2 7 51 2 40 331 8 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 2027 7 0 83 7 3 5 25 4 59 295 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 PalEON 2080 3 0 44 5 0 2 39 3 60 366 1 0
12016 AlbertLeaLake 43.65255 -93.284 minnesota 369 NAPD -27 6 0 5 8 0 0 117 0 31 22 0 0
12016 AlbertLeaLake 43.65255 -93.284 minnesota 369 NAPD 14 5 0 2 5 0 1 59 0 15 14.5 1 0
12016 AlbertLeaLake 43.65255 -93.284 minnesota 369 NAPD 58 1 0 1 1 0 1 35 0 15 6.5 0.5 0
12016 AlbertLeaLake 43.65255 -93.284 minnesota 369 NAPD 79 2 0 8 7 1 0 82 0 12 12 0.5 0
12016 AlbertLeaLake 43.65255 -93.284 minnesota 369 NAPD 101 2 0 6 4 1 0 69 0 12.5 13 0.5 0
12016 AlbertLeaLake 43.65255 -93.284 minnesota 369 NAPD 122 3 0 3 1 0 0 42 0 11 8.5 1 0
12016 AlbertLeaLake 43.65255 -93.284 minnesota 369 NAPD 166 3 0 5 6 0 0 42 0 16 11 0 0
12016 AlbertLeaLake 43.65255 -93.284 minnesota 369 NAPD 209 2 0 2 5 0 3 55 0 35 17 0.5 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD -12 15 0 4 29 0 7 68 1 25 18 1 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 18 13 0 5 21 0 3 58 0 35 33 1 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 51 17 0 6 16 0 4 56 0 35 21 0 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 84 10 0 7 12 0 2 51 0 36 21 0 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 116 5 0 14 15 0 2 58 0 40 27 1 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 149 3 0 7 12 1 4 89 0 36 51 4 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 182 7 0 9 13 0 1 74 0 28 44 2 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 215 9 0 13 8 0 0 45 0 39 40 3 1
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 248 4 0 11 5 1 3 61 0 37 44 2 1
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 281 2 0 11 9 0 2 72 0 31 55 1 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 314 5 0 9 12 0 3 60 0 26 36 2 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 346 7 0 14 13 0 0 65 1 29 32 1 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 379 4 0 21 23 0 3 70 0 37 35 1 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 412 4 0 12 9 0 6 78 0 24 38 2 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 445 12 0 12 18 1 0 73 1 34 42 0 0
29 LakeAllie 44.8036 -94.5579 minnesota 328 NAPD 478 7 0 17 12 0 2 57 0 28 40 2 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 85 0 0 2 4 0 2 32 0 7 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 95 0 0 3 1 0 0 38 0 4 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 106 0 0 4 5 0 1 46 0 9 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 125 0 0 2 11 0 0 62 0 4 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 183 0 0 1 4 0 0 57 0 7 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 223 0 0 3 5 0 0 59 0 4 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 317 0 0 5 12 0 0 51 0 4 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 423 0 0 3 3 0 1 67 0 6 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 476 0 0 2 3 0 1 41 0 10 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 530 0 0 1 8 0 0 42 0 13 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 636 0 0 4 8 0 0 44 0 18 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 743 0 0 3 3 0 0 31 0 9 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 852 0 0 2 4 0 0 39 0 6 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 926 0 0 2 2 0 0 37 0 8 0 0 0
14631 AmberLake 43.60715 -94.473645 minnesota 351 PalEON 965 0 0 3 5 0 0 34 0 8 0 0 0
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD -33 0 1 22 2 2 2 6 4 9 167 13 0
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD -22 1 0 33 2 6 4 11 3 22 147 11 0
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD -5 2 3 48 5 4 4 11 5 25 177 27 0
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 28 5 2 44 2 4 2 10 4 28 108 11 1
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 32 2 4 41 5 6 5 11 4 34 94 18 1
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 35 2 4 54 3 3 8 18 0 20 119 20 0
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 38 2 5 50 0 5 3 15 1 19 101 7 1
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 40 0 3 53 3 4 7 17 1 23 109 17 1
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 51 2 3 41 4 13 5 14 1 18 130 12 2
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 54 3 2 29 7 8 3 13 1 36 139 16 1
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 58 1 3 59 1 7 6 12 1 24 122 17 2
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 84 1 7 41 1 9 4 11 1 27 106 22 1
205 AndrusLake 46.7 -85.040278 michigan:north 190 NAPD 141 6 4 59 1 7 6 9 3 29 162 14 4
223 BadMedicineLake 47.123935 -95.397205 minnesota 487 NAPD -9 3 0 53 3 0 4 35 5 48 136 1 0
223 BadMedicineLake 47.123935 -95.397205 minnesota 487 NAPD 42 1 0 27 2 0 0 21 1 46 174 1 0
223 BadMedicineLake 47.123935 -95.397205 minnesota 487 NAPD 98 1 0 41 5 0 2 18 1 34 204 1 0
223 BadMedicineLake 47.123935 -95.397205 minnesota 487 NAPD 155 3 0 47 6 0 1 27 0 34 161 3 5
223 BadMedicineLake 47.123935 -95.397205 minnesota 487 NAPD 223 1 0 72 2 0 1 23 1 55 140 3 1
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 77 0 0 5 10 0 0 50 0 11 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 98 0 0 8 3 0 2 64 0 23 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 145 0 0 9 15 0 0 64 0 18 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 259 0 0 6 11 0 0 72 0 26 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 357 0 0 11 3 0 2 60 0 20 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 396 0 0 8 5 0 1 73 0 21 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 449 0 0 10 2 0 0 79 0 7 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 524 0 0 7 2 0 1 55 0 8 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 599 0 0 5 3 0 1 50 0 9 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 799 0 0 11 5 0 1 78 0 6 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 899 0 0 3 3 0 0 70 0 8 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 996 0 0 8 3 0 1 70 0 9 0 0 0
14270 BassLake 45.19932 -94.878745 minnesota 361 PalEON 1173 0 0 8 4 0 1 79 0 11 0 0 0
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 0 8 0 41 0 0 2 33 1 31 187 10 4
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 140 5 0 60 7 0 3 38 0 49 167 0 3
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 294 6 0 33 6 0 0 31 1 17 219 2 3
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 449 5 0 55 5 1 6 29 0 34 195 0 5
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 603 7 0 64 1 1 2 35 1 46 228 4 6
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 758 6 0 44 1 0 0 73 0 64 158 4 4
241 BlackBassLake 46.128056 -93.703889 minnesota 394 NAPD 912 2 0 40 5 0 4 74 0 60 135 2 8
