id sitename lat long state altitude type age age_old bacon_depth ASH BEECH BIRCH ELM HEMLOCK MAPLE OAK OTHER.CONIFER OTHER.HARDWOOD PINE SPRUCE TAMARACK
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon -55.6364100964735 -54 1.5 5 0 187 4 12 15 104 5 62 182 5 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon -44.9717832486354 -39 4.5 7 1 114 3 8 4 36 4 29 93 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon -24.1350123270009 -9 10.5 3 1 102 3 11 2 24 3 36 116 5 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon -3.04641285053358 22 16.5 5 0 86 14 4 4 42 1 46 291 1 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 11.2799976772447 42 20.5 5 0 192 2 18 9 32 6 21 191 3 2
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 18.0384410040708 52 22.5 7 0 199 6 31 7 36 3 66 144 4 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 24.796884330897 63 24.5 2 0 206 7 30 14 32 8 44 235 7 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 29.9166674304802 81 26.5 5 0 86 14 4 4 42 1 46 291 2 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 34.4902304543159 102 28.5 2 0 171 9 20 9 52 2 49 233 3 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 74.4667308467556 146 31.5 4 0 137 6 13 4 43 1 31 215 2 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 147.559387095882 201 34.5 5 0 182 12 20 6 47 5 25 284 5 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 214.426909117547 260 37.5 5 0 113 13 16 8 41 5 39 355 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 282.154493576026 320 40.5 5 0 105 6 31 12 25 5 31 368 9 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 360.407524446035 390 43.5 2 0 157 13 10 7 29 1 32 247 4 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 437.604940243689 465 46.5 9 0 164 18 1 8 38 0 34 239 5 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 513.746740968988 548 49.5 7 0 117 8 5 6 26 2 64 269 9 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 607.100340666688 635 52.5 1 1 103 5 18 4 32 2 49 315 1 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 702.840574790423 724 55.5 5 0 97 11 14 4 26 5 82 301 5 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 793.302182071932 812 58.5 4 0 92 3 12 3 23 3 49 298 5 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 886.64646737506 903 61.5 6 0 161 7 25 8 43 5 44 316 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 982.873430699807 997 64.5 4 1 85 3 10 5 31 1 67 389 8 2
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1072.48159391929 1088 67.5 2 0 91 2 10 6 36 4 31 295 3 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1160.88753319505 1178 70.5 1 0 191 9 15 4 20 4 41 240 7 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1249.90115285743 1268 73.5 3 0 72 7 6 2 28 8 53 381 4 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1338.78178546377 1355 76.5 8 0 82 8 5 5 36 3 67 284 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1427.5294310141 1440 79.5 3 0 95 9 4 6 30 3 46 247 6 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1520.67230309462 1521 82.5 1 0 130 13 12 12 16 6 33 331 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1661.60115434559 1657 88.5 2 0 99 8 6 6 32 1 49 299 2 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1769.82484768478 1763 94.5 10 1 88 7 5 4 31 2 43 300 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1872.416887926 1870 100.5 7 0 148 9 6 12 52 2 49 237 4 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 1977.79435412213 1973 106.5 9 1 152 7 2 7 51 2 40 331 8 1
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 2030.19347541266 2027 109.5 7 0 83 7 3 5 25 4 59 295 3 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon 2081.98809962767 2080 112.5 3 0 44 5 0 2 39 3 60 366 1 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon -55.6364100964735 -54 1.5 5 0 187 4 12 15 104 5 62 182 5 0
13060 AdelineLake 46.30235 -91.166 wisconsin 418 Bacon -44.9717832486354 -39 4.5 7 1 114 3 8 4 36 4 29 93 3 0
